"","X","area","river","site","year","escapement","returns","recruits","survival","streamID","popID"
"1",69,12,"AHNUHATI RIVER",2,1950,NA,NA,NA,NA,852,2
"2",70,12,"AHNUHATI RIVER",2,1951,NA,NA,9307.97413793103,NA,852,2
"3",71,12,"AHNUHATI RIVER",2,1952,NA,NA,13498.6918604651,NA,852,2
"4",72,12,"AHNUHATI RIVER",2,1953,35000,NA,4692.05426356589,-2.00947756564019,852,2
"5",73,12,"AHNUHATI RIVER",2,1954,7500,8620.68965517241,21591.8252149536,1.05741176024227,852,2
"6",74,12,"AHNUHATI RIVER",2,1955,7500,8522.72727272727,21529.2510094648,1.05450950200152,852,2
"7",75,12,"AHNUHATI RIVER",2,1956,15000,16666.6666666667,7830.97086025784,-0.649963706415822,852,2
"8",76,12,"AHNUHATI RIVER",2,1957,1500,1744.18604651163,10671.0276595782,1.96206726555535,852,2
"9",77,12,"AHNUHATI RIVER",2,1958,35000,37234.0425531915,2517.04250820726,-2.63226345703734,852,2
"10",78,12,"AHNUHATI RIVER",2,1959,7500,8152.17391304348,11583.2982415098,0.434661233285891,852,2
"11",79,12,"AHNUHATI RIVER",2,1960,7500,8241.75824175824,15451.6148988777,0.722810501538422,852,2
"12",80,12,"AHNUHATI RIVER",2,1961,7500,8426.96629213483,4313.90691281499,-0.553059050736945,852,2
"13",81,12,"AHNUHATI RIVER",2,1962,7500,8152.17391304348,1013.50466708134,-2.00148872872796,852,2
"14",82,12,"AHNUHATI RIVER",2,1963,7500,7731.9587628866,2862.57122200159,-0.963182770922843,852,2
"15",83,12,"AHNUHATI RIVER",2,1964,15000,16666.6666666667,7891.51659323459,-0.642261867575777,852,2
"16",84,12,"AHNUHATI RIVER",2,1965,750,789.473684210526,2002.57852328667,0.982117684270916,852,2
"17",85,12,"AHNUHATI RIVER",2,1966,750,757.575757575758,4730.72225129415,1.84175995913266,852,2
"18",86,12,"AHNUHATI RIVER",2,1967,7500,7575.75757575758,1174.49553407895,-1.85406429783458,852,2
"19",87,12,"AHNUHATI RIVER",2,1968,3500,3684.21052631579,4289.15345375702,0.203326414845838,852,2
"20",88,12,"AHNUHATI RIVER",2,1969,2500,2659.57446808511,4150.27598089479,0.506884101577763,852,2
"21",89,12,"AHNUHATI RIVER",2,1970,3500,3684.21052631579,824.835718760893,-1.44533400974627,852,2
"22",90,12,"AHNUHATI RIVER",2,1971,1500,1685.39325842697,1313.7775889746,-0.132558464948683,852,2
"23",91,12,"AHNUHATI RIVER",2,1972,3000,3125,3394.66033483241,0.123591418687103,852,2
"24",92,12,"AHNUHATI RIVER",2,1973,4000,4494.38202247191,4673.56752296411,0.15562834246676,852,2
"25",93,12,"AHNUHATI RIVER",2,1974,1000,1162.79069767442,10691.0864171856,2.36941034917011,852,2
"26",94,12,"AHNUHATI RIVER",2,1975,2500,2577.31958762887,2802.66495347724,0.114280001760994,852,2
"27",95,12,"AHNUHATI RIVER",2,1976,2000,2173.91304347826,9824.65487757006,1.59174784961353,852,2
"28",96,12,"AHNUHATI RIVER",2,1977,5000,5555.55555555556,6323.17437407378,0.234783444005875,852,2
"29",97,12,"AHNUHATI RIVER",2,1978,10500,10714.2857142857,5611.34834766156,-0.62658421933088,852,2
"30",98,12,"AHNUHATI RIVER",2,1979,2300,2527.47252747253,5542.45745185703,0.879528862837766,852,2
"31",99,12,"AHNUHATI RIVER",2,1980,12000,12244.8979591837,1788.47276057343,-1.90354460050663,852,2
"32",100,12,"AHNUHATI RIVER",2,1981,3000,3191.48936170213,6567.95888326139,0.783590823301246,852,2
"33",101,12,"AHNUHATI RIVER",2,1982,4000,4040.40404040404,42830.3228254972,2.37095196784758,852,2
"34",102,12,"AHNUHATI RIVER",2,1983,7700,8461.53846153846,13756.505902701,0.580291539909748,852,2
"35",103,12,"AHNUHATI RIVER",2,1984,500,505.050505050505,17676.6709402051,3.5653929248024,852,2
"36",104,12,"AHNUHATI RIVER",2,1985,3000,3000,NA,NA,852,2
"37",105,12,"AHNUHATI RIVER",2,1986,50000,51020.4081632653,NA,NA,852,2
"38",106,12,"AHNUHATI RIVER",2,1987,6500,6914.89361702128,NA,NA,852,2
