"","Yr","Area","River","Spawners","Returns","Recruits","Expl"
"1",1950,12,"ADAM RIVER",NA,NA,NA,NA
"2",1951,12,"ADAM RIVER",NA,NA,NA,NA
"3",1952,12,"ADAM RIVER",NA,NA,NA,NA
"4",1953,12,"ADAM RIVER",3500,NA,NA,NA
"5",1954,12,"ADAM RIVER",3500,NA,NA,NA
"6",1955,12,"ADAM RIVER",1500,NA,NA,NA
"7",1956,12,"ADAM RIVER",7500,NA,NA,NA
"8",1957,12,"ADAM RIVER",3500,NA,NA,NA
"9",1958,12,"ADAM RIVER",3500,NA,NA,NA
"10",1959,12,"ADAM RIVER",750,NA,NA,NA
"11",1960,12,"ADAM RIVER",750,NA,NA,NA
"12",1961,12,"ADAM RIVER",750,NA,NA,NA
"13",1962,12,"ADAM RIVER",3500,NA,NA,NA
"14",1963,12,"ADAM RIVER",1500,NA,NA,NA
"15",1964,12,"ADAM RIVER",750,NA,NA,NA
"16",1965,12,"ADAM RIVER",1500,NA,NA,NA
"17",1966,12,"ADAM RIVER",1500,NA,NA,NA
"18",1967,12,"ADAM RIVER",200,NA,NA,NA
"19",1968,12,"ADAM RIVER",400,NA,NA,NA
"20",1969,12,"ADAM RIVER",NA,NA,NA,NA
"21",1970,12,"ADAM RIVER",1500,NA,NA,NA
"22",1971,12,"ADAM RIVER",NA,NA,NA,NA
"23",1972,12,"ADAM RIVER",400,NA,NA,NA
"24",1973,12,"ADAM RIVER",750,NA,NA,NA
"25",1974,12,"ADAM RIVER",1500,NA,NA,NA
"26",1975,12,"ADAM RIVER",750,NA,NA,NA
"27",1976,12,"ADAM RIVER",1500,NA,NA,NA
"28",1977,12,"ADAM RIVER",750,NA,NA,NA
"29",1978,12,"ADAM RIVER",750,NA,NA,NA
"30",1979,12,"ADAM RIVER",300,NA,NA,NA
"31",1980,12,"ADAM RIVER",300,NA,89.5909060473311,NA
"32",1981,12,"ADAM RIVER",NA,NA,66.8729062411815,NA
"33",1982,12,"ADAM RIVER",12,NA,332.681403126075,NA
"34",1983,12,"ADAM RIVER",12,89.5909060473311,56.9554568890257,0.866057834110302
"35",1984,12,"ADAM RIVER",15,66.8729062411815,NA,0.775693911882616
"36",1985,12,"ADAM RIVER",65,332.681403126075,NA,0.804617873469269
"37",1986,12,"ADAM RIVER",15,56.9554568890257,NA,0.736636297568
"38",1987,12,"ADAM RIVER",NA,NA,NA,0.620278215303934
"39",1988,12,"ADAM RIVER",NA,NA,NA,0.662968422357177
"40",1989,12,"ADAM RIVER",NA,NA,NA,0.758563000132309
"41",1990,12,"ADAM RIVER",NA,NA,NA,0.551771761004763
"42",1991,12,"ADAM RIVER",NA,NA,NA,0.610236891943533
"43",1992,12,"ADAM RIVER",NA,NA,68.4297602849023,0.846200576578609
"44",1993,12,"ADAM RIVER",NA,NA,NA,0.870616228783584
"45",1994,12,"ADAM RIVER",NA,NA,137.509583098141,0.688336172661556
"46",1995,12,"ADAM RIVER",40,68.4297602849023,600.350050989381,0.41545900740463
"47",1996,12,"ADAM RIVER",NA,NA,NA,0.154973827940401
"48",1997,12,"ADAM RIVER",100,137.509583098141,1200.13071693635,0.272777956656083
"49",1998,12,"ADAM RIVER",600,600.350050989381,NA,0.000583078137170725
"50",1999,12,"ADAM RIVER",NA,NA,1084.12022312206,0.00581807086852831
"51",2000,12,"ADAM RIVER",1200,1200.13071693635,912,0.000108918915671366
"52",2001,12,"ADAM RIVER",NA,NA,1505.12229301095,6.58172515066211e-05
"53",2002,12,"ADAM RIVER",1084,1084.12022312206,1762.79520879757,0.000110894640181671
"54",2003,12,"ADAM RIVER",912,912,1893.10532484832,0
"55",2004,12,"ADAM RIVER",1505,1505.12229301095,2000,8.1251212286391e-05
"56",2005,12,"ADAM RIVER",1760,1762.79520879757,1835.05081618939,0.00158566847902736
"57",2006,12,"ADAM RIVER",1893,1893.10532484832,5458.28344197397,5.56360213756606e-05
"58",2007,12,"ADAM RIVER",2000,2000,2852.33081034704,0
"59",2008,12,"ADAM RIVER",1835,1835.05081618939,4706.2034629423,2.769197939731e-05
"60",2009,12,"ADAM RIVER",5458,5458.28344197397,3048.23435301966,5.19287752240718e-05
"61",2010,12,"ADAM RIVER",2827,2852.33081034704,1139.74685532036,0.00888074071042353
"62",2011,12,"ADAM RIVER",4639,4706.2034629423,755.682118884991,0.0142797614832157
"63",2012,12,"ADAM RIVER",3048,3048.23435301966,1651.39206696317,7.68815624118097e-05
"64",2013,12,"ADAM RIVER",1121,1139.74685532036,464.942883689175,0.0164482623776054
"65",2014,12,"ADAM RIVER",747,755.682118884991,2506.43423402612,0.0114891151557245
"66",2015,12,"ADAM RIVER",1629,1651.39206696317,NA,0.0135595098287899
"67",2016,12,"ADAM RIVER",464,464.942883689175,NA,0.00202795595384339
"68",2017,12,"ADAM RIVER",2497,2506.43423402612,NA,0.00376400621171083
"69",1950,12,"AHNUHATI RIVER",NA,NA,NA,NA
"70",1951,12,"AHNUHATI RIVER",NA,NA,NA,NA
"71",1952,12,"AHNUHATI RIVER",NA,NA,NA,NA
"72",1953,12,"AHNUHATI RIVER",15000,NA,NA,NA
"73",1954,12,"AHNUHATI RIVER",400,NA,NA,NA
"74",1955,12,"AHNUHATI RIVER",15000,NA,NA,NA
"75",1956,12,"AHNUHATI RIVER",15000,NA,NA,NA
"76",1957,12,"AHNUHATI RIVER",750,NA,NA,NA
"77",1958,12,"AHNUHATI RIVER",15000,NA,NA,NA
"78",1959,12,"AHNUHATI RIVER",7500,NA,NA,NA
"79",1960,12,"AHNUHATI RIVER",750,NA,NA,NA
"80",1961,12,"AHNUHATI RIVER",750,NA,NA,NA
"81",1962,12,"AHNUHATI RIVER",7500,NA,NA,NA
"82",1963,12,"AHNUHATI RIVER",400,NA,NA,NA
"83",1964,12,"AHNUHATI RIVER",750,NA,NA,NA
"84",1965,12,"AHNUHATI RIVER",3500,NA,NA,NA
"85",1966,12,"AHNUHATI RIVER",1500,NA,NA,NA
"86",1967,12,"AHNUHATI RIVER",75,NA,NA,NA
"87",1968,12,"AHNUHATI RIVER",750,NA,NA,NA
"88",1969,12,"AHNUHATI RIVER",NA,NA,NA,NA
"89",1970,12,"AHNUHATI RIVER",400,NA,NA,NA
"90",1971,12,"AHNUHATI RIVER",25,NA,NA,NA
"91",1972,12,"AHNUHATI RIVER",400,NA,NA,NA
"92",1973,12,"AHNUHATI RIVER",400,NA,NA,NA
"93",1974,12,"AHNUHATI RIVER",400,NA,NA,NA
"94",1975,12,"AHNUHATI RIVER",400,NA,NA,NA
"95",1976,12,"AHNUHATI RIVER",400,NA,NA,NA
"96",1977,12,"AHNUHATI RIVER",400,NA,NA,NA
"97",1978,12,"AHNUHATI RIVER",500,NA,NA,NA
"98",1979,12,"AHNUHATI RIVER",450,NA,NA,NA
"99",1980,12,"AHNUHATI RIVER",200,NA,7540.56792565037,NA
"100",1981,12,"AHNUHATI RIVER",2100,NA,2229.09687470605,NA
"101",1982,12,"AHNUHATI RIVER",NA,NA,7677.26314906327,NA
"102",1983,12,"AHNUHATI RIVER",1010,7540.56792565037,379.703045926838,0.866057834110302
"103",1984,12,"AHNUHATI RIVER",500,2229.09687470605,197.513029335494,0.775693911882616
"104",1985,12,"AHNUHATI RIVER",1500,7677.26314906327,296.708102841264,0.804617873469269
"105",1986,12,"AHNUHATI RIVER",100,379.703045926838,828.373447771472,0.736636297568
"106",1987,12,"AHNUHATI RIVER",75,197.513029335494,NA,0.620278215303934
"107",1988,12,"AHNUHATI RIVER",100,296.708102841264,3078.7931828226,0.662968422357177
"108",1989,12,"AHNUHATI RIVER",200,828.373447771472,1345.90881678956,0.758563000132309
"109",1990,12,"AHNUHATI RIVER",NA,NA,10588.6541033685,0.551771761004763
"110",1991,12,"AHNUHATI RIVER",1200,3078.7931828226,4171.16099452984,0.610236891943533
"111",1992,12,"AHNUHATI RIVER",207,1345.90881678956,718.512482991474,0.846200576578609
"112",1993,12,"AHNUHATI RIVER",1370,10588.6541033685,NA,0.870616228783584
"113",1994,12,"AHNUHATI RIVER",1300,4171.16099452984,1512.60541407955,0.688336172661556
"114",1995,12,"AHNUHATI RIVER",420,718.512482991474,2601.51688762065,0.41545900740463
"115",1996,12,"AHNUHATI RIVER",NA,NA,1709.94860214884,0.154973827940401
"116",1997,12,"AHNUHATI RIVER",1100,1512.60541407955,6000.65358468176,0.272777956656083
"117",1998,12,"AHNUHATI RIVER",2600,2601.51688762065,4500.29619712666,0.000583078137170725
"118",1999,12,"AHNUHATI RIVER",1700,1709.94860214884,2686.2978960386,0.00581807086852831
"119",2000,12,"AHNUHATI RIVER",6000,6000.65358468176,2345,0.000108918915671366
"120",2001,12,"AHNUHATI RIVER",4500,4500.29619712666,3324.27010097567,6.58172515066211e-05
"121",2002,12,"AHNUHATI RIVER",2686,2686.2978960386,820.30072500296,0.000110894640181671
"122",2003,12,"AHNUHATI RIVER",2345,2345,686.038168434203,0
"123",2004,12,"AHNUHATI RIVER",3324,3324.27010097567,100,8.1251212286391e-05
"124",2005,12,"AHNUHATI RIVER",819,820.30072500296,1028.02846814316,0.00158566847902736
"125",2006,12,"AHNUHATI RIVER",686,686.038168434203,1642.08527147696,5.56360213756606e-05
"126",2007,12,"AHNUHATI RIVER",100,100,2079.46720909984,0
"127",2008,12,"AHNUHATI RIVER",1028,1028.02846814316,507.243313531181,2.769197939731e-05
"128",2009,12,"AHNUHATI RIVER",1642,1642.08527147696,500.03844373682,5.19287752240718e-05
"129",2010,12,"AHNUHATI RIVER",2061,2079.46720909984,3620.55178572328,0.00888074071042353
"130",2011,12,"AHNUHATI RIVER",500,507.243313531181,1990.87337344801,0.0142797614832157
"131",2012,12,"AHNUHATI RIVER",500,500.03844373682,NA,7.68815624118097e-05
"132",2013,12,"AHNUHATI RIVER",3561,3620.55178572328,NA,0.0164482623776054
"133",2014,12,"AHNUHATI RIVER",1968,1990.87337344801,NA,0.0114891151557245
"134",2015,12,"AHNUHATI RIVER",NA,NA,NA,0.0135595098287899
"135",2016,12,"AHNUHATI RIVER",NA,NA,NA,0.00202795595384339
"136",2017,12,"AHNUHATI RIVER",NA,NA,NA,0.00376400621171083
"137",1950,12,"AHTA RIVER",NA,NA,NA,NA
"138",1951,12,"AHTA RIVER",NA,NA,NA,NA
"139",1952,12,"AHTA RIVER",NA,NA,NA,NA
"140",1953,12,"AHTA RIVER",400,NA,NA,NA
"141",1954,12,"AHTA RIVER",1500,NA,NA,NA
"142",1955,12,"AHTA RIVER",1500,NA,NA,NA
"143",1956,12,"AHTA RIVER",400,NA,NA,NA
"144",1957,12,"AHTA RIVER",3500,NA,NA,NA
"145",1958,12,"AHTA RIVER",1500,NA,NA,NA
"146",1959,12,"AHTA RIVER",400,NA,NA,NA
"147",1960,12,"AHTA RIVER",750,NA,NA,NA
"148",1961,12,"AHTA RIVER",750,NA,NA,NA
"149",1962,12,"AHTA RIVER",750,NA,NA,NA
"150",1963,12,"AHTA RIVER",400,NA,NA,NA
"151",1964,12,"AHTA RIVER",200,NA,NA,NA
"152",1965,12,"AHTA RIVER",400,NA,NA,NA
"153",1966,12,"AHTA RIVER",400,NA,NA,NA
"154",1967,12,"AHTA RIVER",200,NA,NA,NA
"155",1968,12,"AHTA RIVER",200,NA,NA,NA
"156",1969,12,"AHTA RIVER",NA,NA,NA,NA
"157",1970,12,"AHTA RIVER",NA,NA,NA,NA
"158",1971,12,"AHTA RIVER",25,NA,NA,NA
"159",1972,12,"AHTA RIVER",200,NA,NA,NA
