"","X","Yr","Area","River","Escapement","Returns","Recruits","Expl","Survival","EO","Popn","Population","streamID"
"1",1,1950,12,"ADAM RIVER",NA,NA,NA,NA,NA,"E",2,"ADAM RIVER E",1119
"2",2,1951,12,"ADAM RIVER",NA,NA,NA,NA,NA,"O",1,"ADAM RIVER O",1119
"3",3,1952,12,"ADAM RIVER",NA,NA,20833.3333333333,NA,NA,"E",2,"ADAM RIVER E",1119
"4",4,1953,12,"ADAM RIVER",7500,NA,NA,NA,NA,"O",1,"ADAM RIVER O",1119
"5",5,1954,12,"ADAM RIVER",15000,20833.3333333333,31914.8936170213,0.28,0.755022584278033,"E",2,"ADAM RIVER E",1119
"6",6,1955,12,"ADAM RIVER",7500,NA,NA,NA,NA,"O",1,"ADAM RIVER O",1119
"7",7,1956,12,"ADAM RIVER",15000,31914.8936170213,87500,0.53,1.76358859226136,"E",2,"ADAM RIVER E",1119
"8",8,1957,12,"ADAM RIVER",120000,NA,35714.2857142857,NA,-1.21194097397511,"O",1,"ADAM RIVER O",1119
"9",9,1958,12,"ADAM RIVER",35000,87500,17441.8604651163,0.6,-0.69647497065262,"E",2,"ADAM RIVER E",1119
"10",10,1959,12,"ADAM RIVER",15000,35714.2857142857,125000,0.58,2.12026353620009,"O",1,"ADAM RIVER O",1119
"11",11,1960,12,"ADAM RIVER",7500,17441.8604651163,7000,0.57,-0.0689928714869514,"E",2,"ADAM RIVER E",1119
"12",12,1961,12,"ADAM RIVER",50000,125000,265306.12244898,0.6,1.6688613329049,"O",1,"ADAM RIVER O",1119
"13",13,1962,12,"ADAM RIVER",3500,7000,7777.77777777778,0.5,0.798507696217772,"E",2,"ADAM RIVER E",1119
"14",14,1963,12,"ADAM RIVER",130000,265306.12244898,120967.741935484,0.51,-0.0720105359762722,"O",1,"ADAM RIVER O",1119
"15",15,1964,12,"ADAM RIVER",3500,7777.77777777778,116666.666666667,0.55,3.50655789731998,"E",2,"ADAM RIVER E",1119
"16",16,1965,12,"ADAM RIVER",75000,120967.741935484,10294.1176470588,0.38,-1.98591548366901,"O",1,"ADAM RIVER O",1119
"17",17,1966,12,"ADAM RIVER",35000,116666.666666667,116666.666666667,0.7,1.20397280432594,"E",2,"ADAM RIVER E",1119
"18",18,1967,12,"ADAM RIVER",3500,10294.1176470588,9701.49253731343,0.66,1.01951677500335,"O",1,"ADAM RIVER O",1119
"19",19,1968,12,"ADAM RIVER",35000,116666.666666667,42857.1428571429,0.7,0.202524264111474,"E",2,"ADAM RIVER E",1119
"20",20,1969,12,"ADAM RIVER",6500,9701.49253731343,81967.2131147541,0.33,2.53451715034133,"O",1,"ADAM RIVER O",1119
"21",21,1970,12,"ADAM RIVER",15000,42857.1428571429,98039.2156862745,0.65,1.8773173575897,"E",2,"ADAM RIVER E",1119
"22",22,1971,12,"ADAM RIVER",50000,81967.2131147541,109090.909090909,0.39,0.780158557549575,"O",1,"ADAM RIVER O",1119
"23",23,1972,12,"ADAM RIVER",50000,98039.2156862745,133333.333333333,0.49,0.980829253011726,"E",2,"ADAM RIVER E",1119
"24",24,1973,12,"ADAM RIVER",60000,109090.909090909,1e+05,0.45,0.510825623765991,"O",1,"ADAM RIVER O",1119
"25",25,1974,12,"ADAM RIVER",60000,133333.333333333,171875,0.55,1.05242290619874,"E",2,"ADAM RIVER E",1119
"26",26,1975,12,"ADAM RIVER",70000,1e+05,9756.09756097561,0.3,-1.97060276164568,"O",1,"ADAM RIVER O",1119
"27",27,1976,12,"ADAM RIVER",55000,171875,104166.666666667,0.68,0.638658995275876,"E",2,"ADAM RIVER E",1119
"28",28,1977,12,"ADAM RIVER",4000,9756.09756097561,11627.9069767442,0.59,1.06711362160874,"O",1,"ADAM RIVER O",1119
"29",29,1978,12,"ADAM RIVER",50000,104166.666666667,35087.7192982456,0.52,-0.354171813720614,"E",2,"ADAM RIVER E",1119
"30",30,1979,12,"ADAM RIVER",5000,11627.9069767442,17241.3793103448,0.57,1.23787435600162,"O",1,"ADAM RIVER O",1119
"31",31,1980,12,"ADAM RIVER",20000,35087.7192982456,6168.83116883117,0.43,-1.17622289137303,"E",2,"ADAM RIVER E",1119
"32",32,1981,12,"ADAM RIVER",10000,17241.3793103448,26315.7894736842,0.42,0.967584026261705,"O",1,"ADAM RIVER O",1119
"33",33,1982,12,"ADAM RIVER",4750,6168.83116883117,6153.84615384615,0.23,0.258932659165795,"E",2,"ADAM RIVER E",1119
"34",34,1983,12,"ADAM RIVER",15000,26315.7894736842,40000,0.43,0.980829253011726,"O",1,"ADAM RIVER O",1119
"35",35,1984,12,"ADAM RIVER",4000,6153.84615384615,46666.6666666667,0.35,2.4567357728213,"E",2,"ADAM RIVER E",1119
"36",36,1985,12,"ADAM RIVER",20000,40000,89285.7142857143,0.5,1.4961092271271,"O",1,"ADAM RIVER O",1119
"37",37,1986,12,"ADAM RIVER",35000,46666.6666666667,73333.3333333333,0.25,0.739667196194838,"E",2,"ADAM RIVER E",1119
"38",38,1987,12,"ADAM RIVER",50000,89285.7142857143,67567.5675675676,0.44,0.301105092783922,"O",1,"ADAM RIVER O",1119
"39",39,1988,12,"ADAM RIVER",55000,73333.3333333333,268817.204301075,0.25,1.58669842546461,"E",2,"ADAM RIVER E",1119
"40",40,1989,12,"ADAM RIVER",25000,67567.5675675676,1929.82456140351,0.63,-2.56144672691033,"O",1,"ADAM RIVER O",1119
"41",41,1990,12,"ADAM RIVER",250000,268817.204301075,13157.8947368421,0.07,-2.94443897916644,"E",2,"ADAM RIVER E",1119
"42",42,1991,12,"ADAM RIVER",1100,1929.82456140351,NA,0.43,NA,"O",1,"ADAM RIVER O",1119
"43",43,1992,12,"ADAM RIVER",10000,13157.8947368421,39772.7272727273,0.24,1.38059634000525,"E",2,"ADAM RIVER E",1119
"44",44,1993,12,"ADAM RIVER",NA,NA,9677.41935483871,0.43,NA,"O",1,"ADAM RIVER O",1119
"45",45,1994,12,"ADAM RIVER",35000,39772.7272727273,73469.387755102,0.12,0.741520764844161,"E",2,"ADAM RIVER E",1119
"46",46,1995,12,"ADAM RIVER",6000,9677.41935483871,277.777777777778,0.38,-3.07269331469012,"O",1,"ADAM RIVER O",1119
"47",47,1996,12,"ADAM RIVER",72000,73469.387755102,78125,0.02,0.0816439890405102,"E",2,"ADAM RIVER E",1119
"48",48,1997,12,"ADAM RIVER",200,277.777777777778,1010.10101010101,0.28,1.6194882482876,"O",1,"ADAM RIVER O",1119
"49",49,1998,12,"ADAM RIVER",75000,78125,452631.578947368,0.04,1.79759038953885,"E",2,"ADAM RIVER E",1119
"50",50,1999,12,"ADAM RIVER",1000,1010.10101010101,NA,0.01,NA,"O",1,"ADAM RIVER O",1119
"51",51,2000,12,"ADAM RIVER",430000,452631.578947368,153068.888888889,0.05,-1.03289713445342,"E",2,"ADAM RIVER E",1119
"52",52,2001,12,"ADAM RIVER",NA,NA,6635.8024691358,0.06,NA,"O",1,"ADAM RIVER O",1119
"53",53,2002,12,"ADAM RIVER",137762,153068.888888889,166546.315789474,0.1,0.189745885070982,"E",2,"ADAM RIVER E",1119
"54",54,2003,12,"ADAM RIVER",5375,6635.8024691358,48388.4210526316,0.19,2.19750197663797,"O",1,"ADAM RIVER O",1119
"55",55,2004,12,"ADAM RIVER",158219,166546.315789474,66155.9139784946,0.05,-0.871965860147834,"E",2,"ADAM RIVER E",1119
"56",56,2005,12,"ADAM RIVER",45969,48388.4210526316,188371.717171717,0.05,1.41044997343957,"O",1,"ADAM RIVER O",1119
"57",57,2006,12,"ADAM RIVER",61525,66155.9139784946,154588.775510204,0.07,0.921324933813564,"E",2,"ADAM RIVER E",1119
"58",58,2007,12,"ADAM RIVER",186488,188371.717171717,404529.896907217,0.01,0.774358750688917,"O",1,"ADAM RIVER O",1119
"59",59,2008,12,"ADAM RIVER",151497,154588.775510204,247876.404494382,0.02,0.492364430190459,"E",2,"ADAM RIVER E",1119
"60",60,2009,12,"ADAM RIVER",392394,404529.896907217,77804.1095890411,0.03,-1.61807218478389,"O",1,"ADAM RIVER O",1119
"61",61,2010,12,"ADAM RIVER",220610,247876.404494382,1192373.73737374,0.11,1.68730489984005,"E",2,"ADAM RIVER E",1119
"62",62,2011,12,"ADAM RIVER",56797,77804.1095890411,293095.628235511,0.27,1.64101542456751,"O",1,"ADAM RIVER O",1119
"63",63,2012,12,"ADAM RIVER",1180450,1192373.73737374,639791.583908301,0.01,-0.612508527519307,"E",2,"ADAM RIVER E",1119
"64",64,2013,12,"ADAM RIVER",174626,293095.628235511,320526.94449354,0.404201280478729,0.607319798892039,"O",1,"ADAM RIVER O",1119
"65",65,2014,12,"ADAM RIVER",461053,639791.583908301,182231.891373719,0.279370014241886,-0.928232999359418,"E",2,"ADAM RIVER E",1119
"66",66,2015,12,"ADAM RIVER",313237,320526.94449354,44870.42652198,0.0227436245806367,-1.94318116684604,"O",1,"ADAM RIVER O",1119
"67",67,2016,12,"ADAM RIVER",181986,182231.891373719,NA,0.00134933228133561,NA,"E",2,"ADAM RIVER E",1119
"68",68,2017,12,"ADAM RIVER",43365,44870.42652198,NA,0.0335505284587074,NA,"O",1,"ADAM RIVER O",1119
"69",69,1950,12,"AHNUHATI RIVER",NA,NA,NA,NA,NA,"E",4,"AHNUHATI RIVER E",852
"70",70,1951,12,"AHNUHATI RIVER",NA,NA,NA,NA,NA,"O",3,"AHNUHATI RIVER O",852
"71",71,1952,12,"AHNUHATI RIVER",NA,NA,555.555555555556,NA,NA,"E",4,"AHNUHATI RIVER E",852
"72",72,1953,12,"AHNUHATI RIVER",3500,NA,NA,NA,NA,"O",3,"AHNUHATI RIVER O",852
"73",73,1954,12,"AHNUHATI RIVER",400,555.555555555556,851.063829787234,0.28,0.755022584278033,"E",4,"AHNUHATI RIVER E",852
"74",74,1955,12,"AHNUHATI RIVER",7500,NA,NA,NA,NA,"O",3,"AHNUHATI RIVER O",852
"75",75,1956,12,"AHNUHATI RIVER",400,851.063829787234,18750,0.53,3.84748448429057,"E",4,"AHNUHATI RIVER E",852
"76",76,1957,12,"AHNUHATI RIVER",750,NA,17857.1428571429,NA,3.17008566069877,"O",3,"AHNUHATI RIVER O",852
"77",77,1958,12,"AHNUHATI RIVER",7500,18750,17441.8604651163,0.6,0.843970070294529,"E",4,"AHNUHATI RIVER E",852
