"X","area","river","site","year","escapement","returns","recruits","survival"
4557,12,"VINER SOUND CREEK",68,1950,NA,NA,NA,NA
4558,12,"VINER SOUND CREEK",68,1951,NA,NA,49313.0747126437,NA
4559,12,"VINER SOUND CREEK",68,1952,NA,NA,43634.5930232558,NA
4560,12,"VINER SOUND CREEK",68,1953,75000,NA,68563.8242894057,-0.0897230606185793
4561,12,"VINER SOUND CREEK",68,1954,75000,86206.8965517241,63687.8003325544,-0.163495086842337
4562,12,"VINER SOUND CREEK",68,1955,35000,39772.7272727273,45294.3012705078,0.257833163318081
4563,12,"VINER SOUND CREEK",68,1956,35000,38888.8888888889,11130.2210121875,-1.14568403905972
4564,12,"VINER SOUND CREEK",68,1957,75000,87209.3023255814,38776.7958133398,-0.659666091855894
4565,12,"VINER SOUND CREEK",68,1958,75000,79787.2340425532,19992.4040238078,-1.32213571093376
4566,12,"VINER SOUND CREEK",68,1959,15000,16304.347826087,88297.3681352582,1.77266010012078
4567,12,"VINER SOUND CREEK",68,1960,7500,8241.75824175824,42325.9130234177,1.73049647897298
4568,12,"VINER SOUND CREEK",68,1961,35000,39325.8426966292,9556.77922223817,-1.29809729262967
4569,12,"VINER SOUND CREEK",68,1962,75000,81521.7391304348,1190.50985873472,-4.14310644545428
4570,12,"VINER SOUND CREEK",68,1963,35000,36082.4742268041,12958.6764756353,-0.993582499573847
4571,12,"VINER SOUND CREEK",68,1964,35000,38888.8888888889,52399.5891184131,0.403550688555182
4572,12,"VINER SOUND CREEK",68,1965,1000,1052.63157894737,33031.2700052072,3.4974546887152
4573,12,"VINER SOUND CREEK",68,1966,400,404.040404040404,53750.2648856701,4.90063932697527
4574,12,"VINER SOUND CREEK",68,1967,35000,35353.5353535354,7426.81669835526,-1.55025073354909
4575,12,"VINER SOUND CREEK",68,1968,32500,34210.5263157895,50228.7552758954,0.43534758762739
4576,12,"VINER SOUND CREEK",68,1969,50000,53191.4893617021,69107.5433640396,0.323640885292374
4577,12,"VINER SOUND CREEK",68,1970,30000,31578.9473684211,26811.7536486635,-0.11235702130863
4578,12,"VINER SOUND CREEK",68,1971,7500,8426.96629213483,13027.9387072246,0.552193162164967
4579,12,"VINER SOUND CREEK",68,1972,37500,39062.5,53766.0906070036,0.360302049362403
4580,12,"VINER SOUND CREEK",68,1973,60000,67415.7303370787,16458.6353417569,-1.29349427795838
4581,12,"VINER SOUND CREEK",68,1974,40000,46511.6279069767,13228.1927098744,-1.10652909077012
4582,12,"VINER SOUND CREEK",68,1975,6000,6185.56701030928,12603.1045456829,0.742183706894242
4583,12,"VINER SOUND CREEK",68,1976,55000,59782.6086956522,19463.4760801496,-1.03879349749178
4584,12,"VINER SOUND CREEK",68,1977,9000,10000,14283.3763039744,0.461871787481216
4585,12,"VINER SOUND CREEK",68,1978,8000,8163.26530612245,43531.7514779534,1.69404904918688
4586,12,"VINER SOUND CREEK",68,1979,22000,24175.8241758242,26631.8016340104,0.19106359847913
4587,12,"VINER SOUND CREEK",68,1980,14000,14285.7142857143,24377.5624766434,0.554605808990077
4588,12,"VINER SOUND CREEK",68,1981,7500,7978.72340425532,46040.2749440744,1.81461353514577
4589,12,"VINER SOUND CREEK",68,1982,48000,48484.8484848485,36606.0160972319,-0.270988409767228
4590,12,"VINER SOUND CREEK",68,1983,25000,27472.5274725275,30476.1241861426,0.198067738617532
4591,12,"VINER SOUND CREEK",68,1984,40000,40404.0404040404,25378.0294878493,-0.454995635194532
4592,12,"VINER SOUND CREEK",68,1985,40000,40000,3826.80866609971,-2.34684824471333
4593,12,"VINER SOUND CREEK",68,1986,21500,21938.7755102041,20102.0407325806,-0.0672315962381939
4594,12,"VINER SOUND CREEK",68,1987,30000,31914.8936170213,2970.07307985367,-2.31261082313893
4595,12,"VINER SOUND CREEK",68,1988,27000,27272.7272727273,6865.24094686822,-1.36936572953167
4596,12,"VINER SOUND CREEK",68,1989,1200,1290.32258064516,1751.90895853866,0.378384470065635
4597,12,"VINER SOUND CREEK",68,1990,18000,19354.8387096774,945.368521783385,-2.946552215262
4598,12,"VINER SOUND CREEK",68,1991,4500,4838.70967741936,629.275434403723,-1.96726362237119
4599,12,"VINER SOUND CREEK",68,1992,6400,6597.9381443299,719.418177636941,-2.18561047063101
4600,12,"VINER SOUND CREEK",68,1993,1600,1758.24175824176,352.422143078756,-1.51292918106964
4601,12,"VINER SOUND CREEK",68,1994,1007,1094.5652173913,1514.42544074928,0.408060506262387
4602,12,"VINER SOUND CREEK",68,1995,725,788.04347826087,1060.59759764339,0.380416144753761
4603,12,"VINER SOUND CREEK",68,1996,775,824.468085106383,1515.99504017756,0.670964265192935
4604,12,"VINER SOUND CREEK",68,1997,97,102.105263157895,402.086320950483,1.42195581579727
4605,12,"VINER SOUND CREEK",68,1998,1500,1530.61224489796,1031.58649138775,-0.374367207984914
4606,12,"VINER SOUND CREEK",68,1999,1100,1157.89473684211,2306.14399858124,0.740266685271258
4607,12,"VINER SOUND CREEK",68,2000,1600,1632.65306122449,1699.78048544194,0.0604954872683015
4608,12,"VINER SOUND CREEK",68,2001,100,107.52688172043,7781.20569997946,4.35429639346749
4609,12,"VINER SOUND CREEK",68,2002,1301,1327.55102040816,5846.14778066764,1.50264974577651
