"","year","area","species","calculated.harvest","steph","brendan","final","source"
"1",1950,12,"chum",0,NA,NA,NA,NA
"2",1951,12,"chum",0,NA,NA,NA,NA
"3",1952,12,"chum",0,NA,NA,NA,NA
"4",1953,12,"chum",0,NA,NA,NA,NA
"5",1954,12,"chum",0,NA,0.13,0.13,"P. Van Will (via Brendan Connors)"
"6",1955,12,"chum",0,NA,0.12,0.12,"P. Van Will (via Brendan Connors)"
"7",1956,12,"chum",0,NA,0.1,0.1,"P. Van Will (via Brendan Connors)"
"8",1957,12,"chum",0,NA,0.14,0.14,"P. Van Will (via Brendan Connors)"
"9",1958,12,"chum",0,NA,0.06,0.06,"P. Van Will (via Brendan Connors)"
"10",1959,12,"chum",0,NA,0.08,0.08,"P. Van Will (via Brendan Connors)"
"11",1960,12,"chum",0,NA,0.09,0.09,"P. Van Will (via Brendan Connors)"
"12",1961,12,"chum",0,NA,0.11,0.11,"P. Van Will (via Brendan Connors)"
"13",1962,12,"chum",0,NA,0.08,0.08,"P. Van Will (via Brendan Connors)"
"14",1963,12,"chum",0,NA,0.03,0.03,"P. Van Will (via Brendan Connors)"
"15",1964,12,"chum",0,NA,0.1,0.1,"P. Van Will (via Brendan Connors)"
"16",1965,12,"chum",0,NA,0.05,0.05,"P. Van Will (via Brendan Connors)"
"17",1966,12,"chum",0,NA,0.01,0.01,"P. Van Will (via Brendan Connors)"
"18",1967,12,"chum",0,NA,0.01,0.01,"P. Van Will (via Brendan Connors)"
"19",1968,12,"chum",0,NA,0.05,0.05,"P. Van Will (via Brendan Connors)"
"20",1969,12,"chum",0,NA,0.06,0.06,"P. Van Will (via Brendan Connors)"
"21",1970,12,"chum",0,NA,0.05,0.05,"P. Van Will (via Brendan Connors)"
"22",1971,12,"chum",0,NA,0.11,0.11,"P. Van Will (via Brendan Connors)"
"23",1972,12,"chum",0,NA,0.04,0.04,"P. Van Will (via Brendan Connors)"
"24",1973,12,"chum",0,NA,0.11,0.11,"P. Van Will (via Brendan Connors)"
"25",1974,12,"chum",0,NA,0.14,0.14,"P. Van Will (via Brendan Connors)"
"26",1975,12,"chum",0,NA,0.03,0.03,"P. Van Will (via Brendan Connors)"
"27",1976,12,"chum",0,NA,0.08,0.08,"P. Van Will (via Brendan Connors)"
"28",1977,12,"chum",0,NA,0.1,0.1,"P. Van Will (via Brendan Connors)"
"29",1978,12,"chum",0,NA,0.02,0.02,"P. Van Will (via Brendan Connors)"
"30",1979,12,"chum",0,NA,0.09,0.09,"P. Van Will (via Brendan Connors)"
"31",1980,12,"chum",0.783854490533698,0.148484021,0.02,0.02,"P. Van Will (via Brendan Connors)"
"32",1981,12,"chum",0.575809343842503,0.025958752,0.06,0.06,"P. Van Will (via Brendan Connors)"
"33",1982,12,"chum",0.755088176093924,0.235610162,0.01,0.01,"P. Van Will (via Brendan Connors)"
"34",1983,12,"chum",0.549779318026106,0.041242828,0.09,0.09,"P. Van Will (via Brendan Connors)"
"35",1984,12,"chum",0.241258013430398,0.014670921,0.01,0.01,"P. Van Will (via Brendan Connors)"
"36",1985,12,"chum",0.661243627470342,0.063599467,0,0,"P. Van Will (via Brendan Connors)"
"37",1986,12,"chum",0.707767117337674,0.18497858,0.02,0.02,"P. Van Will (via Brendan Connors)"
"38",1987,12,"chum",0.445888141396063,0.032695414,0.06,0.06,"P. Van Will (via Brendan Connors)"
"39",1988,12,"chum",0.643237417441744,0.173491697,0.01,0.01,"P. Van Will (via Brendan Connors)"
"40",1989,12,"chum",0.763126512513608,0.144627469,0.07,0.07,"P. Van Will (via Brendan Connors)"
"41",1990,12,"chum",0.749240869515851,0.168744674,0.07,0.07,"P. Van Will (via Brendan Connors)"
"42",1991,12,"chum",0.50491002247009,0.064023233,0.07,0.07,"P. Van Will (via Brendan Connors)"
"43",1992,12,"chum",0.746971540010796,0.192648905,0.03,0.03,"P. Van Will (via Brendan Connors)"
"44",1993,12,"chum",0.806354327644421,0.157334491,0.09,0.09,"P. Van Will (via Brendan Connors)"
"45",1994,12,"chum",0.804303376568546,0.172305508,0.08,0.08,"P. Van Will (via Brendan Connors)"
"46",1995,12,"chum",0.516680783934923,0.125053343,0.08,0.08,"P. Van Will (via Brendan Connors)"
"47",1996,12,"chum",0.741720157809757,0.078163457,0.06,0.06,"P. Van Will (via Brendan Connors)"
"48",1997,12,"chum",0.304618567989128,0.045061734,0.05,0.05,"P. Van Will (via Brendan Connors)"
"49",1998,12,"chum",0.630914486600195,0.113736795,0.02,0.02,"P. Van Will (via Brendan Connors)"
"50",1999,12,"chum",0.346130130161345,0.034222836,0.05,0.05,"P. Van Will (via Brendan Connors)"
"51",2000,12,"chum",0.723743344181179,0.096318246,0.02,0.02,"P. Van Will (via Brendan Connors)"
"52",2001,12,"chum",0.446417375400238,0.041340147,0.07,0.07,"P. Van Will (via Brendan Connors)"
"53",2002,12,"chum",0.382617497785269,0.064454051,0.02,0.02,"P. Van Will (via Brendan Connors)"
"54",2003,12,"chum",0.86255269935219,0.09420399,0.03,0.03,"P. Van Will (via Brendan Connors)"
"55",2004,12,"chum",0.938275453720315,0.111701277,0.04,0.04,"P. Van Will (via Brendan Connors)"
"56",2005,12,"chum",0.693571564114326,0.117801855,0.07,0.07,"P. Van Will (via Brendan Connors)"
"57",2006,12,"chum",0.575932853462219,0.093177946,0.05,0.05,"P. Van Will (via Brendan Connors)"
"58",2007,12,"chum",0.358853978558522,0.031089208,0.06,0.06,"P. Van Will (via Brendan Connors)"
"59",2008,12,"chum",0.483474489341228,0.061745708,0.01,0.01,"P. Van Will (via Brendan Connors)"
"60",2009,12,"chum",0.707582581386419,0.07015368,0.02,0.02,"P. Van Will (via Brendan Connors)"
"61",2010,12,"chum",0.428324374812517,NA,0.03,0.03,"P. Van Will (via Brendan Connors)"
"62",2011,12,"chum",0.876037803491954,NA,0.01,0.01,"P. Van Will (via Brendan Connors)"
"63",2012,12,"chum",0.601181058205928,NA,0.05,0.05,"P. Van Will (via Brendan Connors)"
"64",2013,12,"chum",0.866969233015169,NA,0.02,0.02,"P. Van Will (via Brendan Connors)"
"65",2014,12,"chum",0.62767167395064,NA,0.04,0.04,"P. Van Will (via Brendan Connors)"
"66",2015,12,"chum",0.63533615610393,NA,NA,0.0480489845220563,"Calculated harvest adjusted using Brendan's data"
"67",2016,12,"chum",0.887182374677242,NA,NA,0.0670955238098156,"Calculated harvest adjusted using Brendan's data"
"68",2017,12,"chum",0.921925015775774,NA,NA,0.069723028333776,"Calculated harvest adjusted using Brendan's data"
