"","year","species","odd_even","total.systems","no.counted","prop.counted"
"1",1953,"Pink","O",68,36,0.529411764705882
"2",1954,"Pink","E",68,39,0.573529411764706
"3",1955,"Pink","O",68,37,0.544117647058823
"4",1956,"Pink","E",68,34,0.5
"5",1957,"Pink","O",68,31,0.455882352941176
"6",1958,"Pink","O",68,34,0.5
"7",1959,"Pink","E",68,26,0.382352941176471
"8",1960,"Pink","O",68,35,0.514705882352941
"9",1961,"Pink","E",68,30,0.441176470588235
"10",1962,"Pink","O",68,32,0.470588235294118
"11",1963,"Pink","O",68,25,0.367647058823529
"12",1964,"Pink","E",68,34,0.5
"13",1965,"Pink","O",68,27,0.397058823529412
"14",1966,"Pink","E",68,44,0.647058823529412
"15",1967,"Pink","O",68,26,0.382352941176471
"16",1968,"Pink","O",68,34,0.5
"17",1969,"Pink","E",68,18,0.264705882352941
"18",1970,"Pink","O",68,38,0.558823529411765
"19",1971,"Pink","E",68,27,0.397058823529412
"20",1972,"Pink","O",68,34,0.5
"21",1973,"Pink","O",68,29,0.426470588235294
"22",1974,"Pink","E",68,35,0.514705882352941
"23",1975,"Pink","O",68,29,0.426470588235294
"24",1976,"Pink","E",68,33,0.485294117647059
"25",1977,"Pink","O",68,20,0.294117647058824
"26",1978,"Pink","O",68,27,0.397058823529412
"27",1979,"Pink","E",68,18,0.264705882352941
"28",1980,"Pink","O",68,32,0.470588235294118
"29",1981,"Pink","E",68,21,0.308823529411765
"30",1982,"Pink","O",68,27,0.397058823529412
"31",1983,"Pink","O",68,27,0.397058823529412
"32",1984,"Pink","E",68,23,0.338235294117647
"33",1985,"Pink","O",68,29,0.426470588235294
"34",1986,"Pink","E",68,41,0.602941176470588
"35",1987,"Pink","O",68,23,0.338235294117647
"36",1988,"Pink","O",68,34,0.5
"37",1989,"Pink","E",68,21,0.308823529411765
"38",1990,"Pink","O",68,40,0.588235294117647
"39",1991,"Pink","E",68,19,0.279411764705882
"40",1992,"Pink","O",68,37,0.544117647058823
"41",1993,"Pink","O",68,18,0.264705882352941
"42",1994,"Pink","E",68,28,0.411764705882353
"43",1995,"Pink","O",68,23,0.338235294117647
"44",1996,"Pink","E",68,45,0.661764705882353
"45",1997,"Pink","O",68,26,0.382352941176471
"46",1998,"Pink","O",68,34,0.5
"47",1999,"Pink","E",68,11,0.161764705882353
"48",2000,"Pink","O",68,32,0.470588235294118
"49",2001,"Pink","E",68,20,0.294117647058824
"50",2002,"Pink","O",68,17,0.25
"51",2003,"Pink","O",68,16,0.235294117647059
"52",2004,"Pink","E",68,19,0.279411764705882
"53",2005,"Pink","O",68,17,0.25
"54",2006,"Pink","E",68,14,0.205882352941176
"55",2007,"Pink","O",68,15,0.220588235294118
"56",2008,"Pink","O",68,18,0.264705882352941
"57",2009,"Pink","E",68,19,0.279411764705882
"58",2010,"Pink","O",68,18,0.264705882352941
"59",2011,"Pink","E",68,15,0.220588235294118
"60",2012,"Pink","O",68,19,0.279411764705882
"61",2013,"Pink","O",68,18,0.264705882352941
"62",2014,"Pink","E",68,17,0.25
"63",2015,"Pink","O",68,7,0.102941176470588
"64",2016,"Pink","E",68,9,0.132352941176471
"65",2017,"Pink","O",68,4,0.0588235294117647
"66",1953,"Chum",NA,64,49,0.765625
"67",1954,"Chum",NA,64,55,0.859375
"68",1955,"Chum",NA,64,54,0.84375
"69",1956,"Chum",NA,64,50,0.78125
"70",1957,"Chum",NA,64,43,0.671875
"71",1958,"Chum",NA,64,46,0.71875
"72",1959,"Chum",NA,64,38,0.59375
"73",1960,"Chum",NA,64,34,0.53125
"74",1961,"Chum",NA,64,39,0.609375
"75",1962,"Chum",NA,64,34,0.53125
"76",1963,"Chum",NA,64,31,0.484375
"77",1964,"Chum",NA,64,40,0.625
"78",1965,"Chum",NA,64,33,0.515625
"79",1966,"Chum",NA,64,38,0.59375
"80",1967,"Chum",NA,64,28,0.4375
"81",1968,"Chum",NA,64,28,0.4375
"82",1969,"Chum",NA,64,26,0.40625
"83",1970,"Chum",NA,64,28,0.4375
"84",1971,"Chum",NA,64,21,0.328125
"85",1972,"Chum",NA,64,31,0.484375
"86",1973,"Chum",NA,64,31,0.484375
"87",1974,"Chum",NA,64,30,0.46875
"88",1975,"Chum",NA,64,29,0.453125
"89",1976,"Chum",NA,64,30,0.46875
"90",1977,"Chum",NA,64,27,0.421875
"91",1978,"Chum",NA,64,24,0.375
"92",1979,"Chum",NA,64,21,0.328125
"93",1980,"Chum",NA,64,22,0.34375
"94",1981,"Chum",NA,64,19,0.296875
"95",1982,"Chum",NA,64,22,0.34375
"96",1983,"Chum",NA,64,21,0.328125
"97",1984,"Chum",NA,64,20,0.3125
"98",1985,"Chum",NA,64,28,0.4375
"99",1986,"Chum",NA,64,27,0.421875
"100",1987,"Chum",NA,64,25,0.390625
"101",1988,"Chum",NA,64,24,0.375
"102",1989,"Chum",NA,64,20,0.3125
"103",1990,"Chum",NA,64,13,0.203125
"104",1991,"Chum",NA,64,16,0.25
"105",1992,"Chum",NA,64,19,0.296875
"106",1993,"Chum",NA,64,17,0.265625
"107",1994,"Chum",NA,64,18,0.28125
"108",1995,"Chum",NA,64,24,0.375
"109",1996,"Chum",NA,64,23,0.359375
"110",1997,"Chum",NA,64,20,0.3125
"111",1998,"Chum",NA,64,24,0.375
"112",1999,"Chum",NA,64,13,0.203125
