Area,River,Yr,Escapement
10,BOSS CREEK,1950,
10,BOSS CREEK,1951,
10,BOSS CREEK,1952,
10,BOSS CREEK,1953,
10,BOSS CREEK,1954,
10,BOSS CREEK,1955,
10,BOSS CREEK,1956,
10,BOSS CREEK,1957,
10,BOSS CREEK,1958,
10,BOSS CREEK,1959,
10,BOSS CREEK,1960,
10,BOSS CREEK,1961,
10,BOSS CREEK,1962,
10,BOSS CREEK,1963,
10,BOSS CREEK,1964,
10,BOSS CREEK,1965,
10,BOSS CREEK,1966,
10,BOSS CREEK,1967,
10,BOSS CREEK,1968,
10,BOSS CREEK,1969,
10,BOSS CREEK,1970,
10,BOSS CREEK,1971,
10,BOSS CREEK,1972,
10,BOSS CREEK,1973,
10,BOSS CREEK,1974,
10,BOSS CREEK,1976,
10,BOSS CREEK,1977,
10,BOSS CREEK,1978,
10,BOSS CREEK,1979,
10,BOSS CREEK,1980,
10,BOSS CREEK,1981,
10,BOSS CREEK,1982,
10,BOSS CREEK,1983,
10,BOSS CREEK,1984,
10,BOSS CREEK,1985,
10,BOSS CREEK,1986,
10,BOSS CREEK,1987,
10,BOSS CREEK,1988,
10,BOSS CREEK,1989,
10,BOSS CREEK,1990,
10,BOSS CREEK,1991,
10,BOSS CREEK,1993,
10,BOSS CREEK,1994,
10,BOSS CREEK,1995,
10,BOSS CREEK,1996,
10,BOSS CREEK,1997,
10,BOSS CREEK,1998,
10,BOSS CREEK,1999,
10,BOSS CREEK,2000,
10,BOSS CREEK,2004,
10,BOSS CREEK,2005,
10,BOSS CREEK,2006,
10,BOSS CREEK,2007,
10,BOSS CREEK,2008,
10,BOSWELL CREEK,1950,
10,BOSWELL CREEK,1951,
10,BOSWELL CREEK,1952,
10,BOSWELL CREEK,1953,25
10,BOSWELL CREEK,1957,
10,BOSWELL CREEK,1959,25
10,BOSWELL CREEK,1960,
10,BOSWELL CREEK,1965,
10,BOSWELL CREEK,1966,
10,BOSWELL CREEK,1967,
10,BOSWELL CREEK,1968,
10,BOSWELL CREEK,1969,
10,BOSWELL CREEK,1970,
10,BOSWELL CREEK,1971,
10,BOSWELL CREEK,1972,
10,BOSWELL CREEK,1973,
10,BOSWELL CREEK,1974,
10,BOSWELL CREEK,1977,
10,BOSWELL CREEK,1978,
10,BOSWELL CREEK,1981,12
10,BOSWELL CREEK,1982,6
10,BOSWELL CREEK,1983,20
10,BOSWELL CREEK,1984,
10,BOSWELL CREEK,1985,
10,BOSWELL CREEK,1986,
10,BOSWELL CREEK,1987,
10,BOSWELL CREEK,1988,
10,BOSWELL CREEK,1989,
10,BOSWELL CREEK,1990,
10,BOSWELL CREEK,1991,
10,BOSWELL CREEK,1992,
10,BOSWELL CREEK,1993,
10,BOSWELL CREEK,1994,
10,BOSWELL CREEK,1995,
10,BOSWELL CREEK,1997,
10,BOSWELL CREEK,1998,
10,BOSWELL CREEK,1999,
10,BOSWELL CREEK,2000,
10,BOSWELL CREEK,2001,
10,BOSWELL CREEK,2002,
10,BOSWELL CREEK,2003,
10,BOSWELL CREEK,2004,
10,BOSWELL CREEK,2005,
10,BOSWELL CREEK,2006,
10,BOSWELL CREEK,2007,
10,BOSWELL CREEK,2008,
10,BOSWELL CREEK,2010,
10,CANOE CREEK,2001,
10,CANOE CREEK,2002,
10,CANOE CREEK,2003,
10,CHIC CHIC CREEK,1950,
10,CHIC CHIC CREEK,1951,
10,CHIC CHIC CREEK,1952,
10,CHIC CHIC CREEK,1953,
10,CHIC CHIC CREEK,1954,
10,CHIC CHIC CREEK,1955,
10,CHIC CHIC CREEK,1956,
10,CHIC CHIC CREEK,1957,
10,CHIC CHIC CREEK,1958,
10,CHIC CHIC CREEK,1959,
10,CHIC CHIC CREEK,1960,
10,CHIC CHIC CREEK,1961,
10,CHIC CHIC CREEK,1962,
10,CHIC CHIC CREEK,1963,
10,CHIC CHIC CREEK,1964,
10,CHIC CHIC CREEK,1965,
10,CHIC CHIC CREEK,1966,
10,CHIC CHIC CREEK,1967,
10,CHIC CHIC CREEK,1968,
10,CHIC CHIC CREEK,1969,
10,CHIC CHIC CREEK,1970,
10,CHIC CHIC CREEK,1971,
10,CHIC CHIC CREEK,1972,
10,CHIC CHIC CREEK,1973,
10,CHIC CHIC CREEK,1974,
10,CHIC CHIC CREEK,1976,
10,CHIC CHIC CREEK,1977,
10,CHIC CHIC CREEK,1979,
10,CHIC CHIC CREEK,1980,
10,CHIC CHIC CREEK,1981,
10,CHIC CHIC CREEK,1982,
10,CHIC CHIC CREEK,1983,
10,CHIC CHIC CREEK,1985,
10,CHIC CHIC CREEK,1986,
10,CHIC CHIC CREEK,1987,
10,CHIC CHIC CREEK,1988,
10,CHIC CHIC CREEK,1989,
10,CHIC CHIC CREEK,1991,
10,CHIC CHIC CREEK,1992,
10,CHIC CHIC CREEK,1993,
10,CHIC CHIC CREEK,1994,
10,CHIC CHIC CREEK,1995,
10,CHIC CHIC CREEK,1996,
10,CHIC CHIC CREEK,1997,
10,CHIC CHIC CREEK,1998,
10,CHIC CHIC CREEK,1999,
10,CHIC CHIC CREEK,2004,
10,CHIC CHIC CREEK,2005,
10,CHIC CHIC CREEK,2006,
10,CHIC CHIC CREEK,2007,
10,CHIC CHIC CREEK,2008,
10,CORDUROY CREEK,1950,
10,CORDUROY CREEK,1951,
10,CORDUROY CREEK,1952,
10,CORDUROY CREEK,1953,
10,CORDUROY CREEK,1954,
10,CORDUROY CREEK,1955,
10,CORDUROY CREEK,1956,
10,CORDUROY CREEK,1957,
10,CORDUROY CREEK,1958,
10,CORDUROY CREEK,1959,
10,CORDUROY CREEK,1960,
10,CORDUROY CREEK,1961,
10,CORDUROY CREEK,1962,
10,CORDUROY CREEK,1963,
10,CORDUROY CREEK,1964,
10,CORDUROY CREEK,1965,
10,CORDUROY CREEK,1966,
10,CORDUROY CREEK,1967,
10,CORDUROY CREEK,1968,
10,CORDUROY CREEK,1969,
10,CORDUROY CREEK,1970,
10,CORDUROY CREEK,1971,
10,CORDUROY CREEK,1972,
10,CORDUROY CREEK,1973,
10,CORDUROY CREEK,1974,
10,CORDUROY CREEK,1975,
10,CORDUROY CREEK,1976,
10,CORDUROY CREEK,1977,
10,CORDUROY CREEK,1978,
10,CORDUROY CREEK,1979,
10,CORDUROY CREEK,1980,
10,CORDUROY CREEK,1981,
10,CORDUROY CREEK,1982,
10,CORDUROY CREEK,1983,
10,CORDUROY CREEK,1984,
10,CORDUROY CREEK,1985,
10,CORDUROY CREEK,1986,
10,CORDUROY CREEK,1987,
10,CORDUROY CREEK,1988,
10,CORDUROY CREEK,1989,
10,CORDUROY CREEK,1990,
10,CORDUROY CREEK,1991,
10,CORDUROY CREEK,1993,
10,CORDUROY CREEK,1994,
10,CORDUROY CREEK,1995,
10,CORDUROY CREEK,1996,
10,CORDUROY CREEK,1997,
10,CORDUROY CREEK,1998,
10,CORDUROY CREEK,1999,
10,CORDUROY CREEK,2000,
10,CORDUROY CREEK,2004,
10,CORDUROY CREEK,2005,
10,CORDUROY CREEK,2006,
10,CORDUROY CREEK,2007,
10,CORDUROY CREEK,2008,
10,DOCEE RIVER,1950,
10,DOCEE RIVER,1983,150
10,DOCEE RIVER,1991,
10,DOCEE RIVER,1992,
10,DOCEE RIVER,1997,
10,DOCEE RIVER,1998,
10,DOCEE RIVER,1999,
10,DOCEE RIVER,2000,
10,DOCEE RIVER,2001,
10,DOCEE RIVER,2002,
10,DOCEE RIVER,2003,
10,DOCEE RIVER,2004,
10,DOCEE RIVER,2005,
10,DOCEE RIVER,2006,
10,DOCEE RIVER,2007,
10,DOCEE RIVER,2008,6
10,DOCEE RIVER,2009,36
10,DOCEE RIVER,2010,11
10,DSULISH CREEK,1950,
10,DSULISH CREEK,1951,
10,DSULISH CREEK,1952,
10,DSULISH CREEK,1953,
10,DSULISH CREEK,1954,
10,DSULISH CREEK,1955,75
10,DSULISH CREEK,1956,
10,DSULISH CREEK,1957,
10,DSULISH CREEK,1958,
10,DSULISH CREEK,1964,
10,DSULISH CREEK,1970,
10,DSULISH CREEK,1971,
10,DSULISH CREEK,1972,
10,DSULISH CREEK,1973,
10,DSULISH CREEK,1974,
