,ANALYSIS_YR,AREA,WATERBODY,SPECIES,POPULATION,POP_ID,ESTIMATE_CLASSIFICATION,ESTIMATE_METHOD,MAX_ESTIMATE,GFE_ID,RUN_TYPE
1188,1953,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,3500,1119,1
12796,1953,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,200,1119,1
16565,1953,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,7500,1119,1
16707,1953,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,200,1119,1
17564,1953,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,3500,1119,1
34,1954,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,15000,1119,1
4933,1954,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,3500,1119,1
5445,1954,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,3500,1119,1
8547,1954,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,400,1119,1
12786,1954,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,200,1119,1
6334,1955,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,400,1119,1
6858,1955,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,3500,1119,1
9113,1955,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,75,1119,1
10040,1955,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,1500,1119,1
15295,1955,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,7500,1119,1
7509,1956,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,15000,1119,1
10282,1956,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,1500,1119,1
10330,1956,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,7500,1119,1
12471,1956,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,200,1119,1
16488,1956,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,200,1119,1
4404,1957,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,1500,1119,1
4980,1957,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,120000,1119,1
12593,1957,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,3500,1119,1
15270,1957,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,200,1119,1
15387,1957,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,200,1119,1
434,1958,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,400,1119,1
3480,1958,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,3500,1119,1
4746,1958,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,35000,1119,1
7685,1958,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,3500,1119,1
11167,1958,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,400,1119,1
