"SpeciesId","CU","CU_Name","BroodYear","Escape","TR2","TR3","TR4","TR5","TR6","TR7","Total","Total.ER","Age2","Age3","Age4","Age5","Age6","Age7","CU_index_2"
"CM","CM_12","Smith Inlet",1954,48215.80646,NA,25485.27888,52713.14638,2055.645893,0,0,80254.07116,0.377098925,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1955,10366.39839,NA,50442.52652,19754.39468,2939.958596,0,0,73136.87979,0.697470725,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1956,28929.48388,NA,18903.47372,28252.48387,1894.818987,0,0,49050.77658,0.302135773,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1957,30134.87904,NA,27035.50755,18208.87646,3707.76778,0,0,48952.15179,0.450991908,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1958,91610.03227,NA,17424.52873,35630.99479,5195.011448,0,0,58250.53497,0.156772253,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1959,28326.7863,NA,34096.18896,49923.14428,5850.13815,0,0,89869.47138,0.304248147,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1960,36793.3575,NA,47772.70381,56218.7964,810.0258233,0,0,104801.526,0.368121503,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1961,22811.88165,NA,53797.17058,7784.205377,145.3418469,0,0,61726.71781,0.392146737,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1962,48567.2319,NA,7448.90057,1396.709529,3531.244472,0,0,12376.85457,0.338642633,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1963,68435.64494,NA,1336.546237,33934.63691,6828.968679,0,0,42100.15183,0.334878133,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1964,67405.43093,NA,32472.90173,65625.18525,2109.721827,0,0,100207.8088,0.418253019,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1965,4709.54976,NA,62798.37904,20274.05487,7518.991925,0,0,90591.42583,0.706447424,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1966,1471.7343,NA,19400.74954,72256.18701,1940.789874,0,0,93597.72642,0.488737302,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1967,45403.00315,NA,69143.75027,18650.64858,7343.317043,0,0,95137.71589,0.350824434,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1968,54674.92924,NA,17847.27151,70567.98236,12278.6664,0,0,100693.9203,0.59576075,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1969,7800.191789,NA,67528.26507,117995.8197,4292.277753,0,0,189816.3625,0.813325303,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1970,54233.00992,NA,112913.1473,41248.0326,1585.82332,0,0,155747.0033,0.63582556,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1971,25774.64767,NA,39471.27274,15239.48257,2141.111726,0,0,56851.86704,0.329467874,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1972,101977.9538,NA,14583.04155,20575.70627,8892.525466,0,0,44051.27328,0.298836363,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1973,150165.3386,NA,19689.4073,85455.60222,6308.20471,0,0,111453.2142,0.382518614,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1974,61635.02704,NA,81774.60039,60620.7353,1394.902282,0,0,143790.238,0.274988085,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1975,23533.37396,NA,58009.49588,13404.76504,6844.487581,0,0,78258.7485,0.250736172,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1976,25774.64767,NA,12827.35451,65774.31916,6989.922085,0,0,85591.59576,0.392202684,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1977,103098.5907,NA,62941.08901,67171.91911,8631.717696,0,0,138744.7258,0.414626603,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1978,75249.4405,NA,64278.48731,82949.28552,4212.099841,0,0,151439.8727,0.397713862,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1979,17418.85197,NA,79376.24334,40477.53699,2127.370536,0,0,121981.1509,0.369505773,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1980,113991.5901,NA,38733.96625,20443.65585,3822.925302,0,0,63000.54741,0.159113766,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1981,118200.5103,NA,19563.04495,36737.63828,9739.61408,0,0,66040.29731,0.146207398,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1982,154327.0758,NA,35155.16375,93595.97449,5141.037478,0,0,133892.1757,0.097285809,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1983,77689.65294,NA,89564.32596,49404.46394,5956.583832,0,0,144925.3737,0.06874226,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1984,33671.362,NA,47276.36564,57241.72064,2710.708034,0,0,107228.7943,0.200859917,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1985,54014.47654,NA,54776.03235,26049.42638,5656.584501,0,0,86482.04323,0.28662197,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1986,136412.0892,NA,24927.34681,54358.77996,3617.486925,0,0,82903.61369,0.292841962,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1987,80481.50677,NA,52017.27439,34763.41169,2423.06502,0,0,89203.7511,0.209593143,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1988,92675.67446,NA,33265.97701,23285.22773,2164.896913,0,0,58716.10165,0.214449937,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1989,31989.36658,NA,22282.21606,20804.27773,2583.618198,0,0,45670.11199,0.404161902,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1990,70550.02526,NA,19908.13303,24828.11547,4669.800688,0,0,49406.04919,0.370278872,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1991,47709.62566,NA,23758.64388,44875.96145,2366.045285,0,0,71000.65062,0.334107061,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1992,23106.07925,NA,42942.92849,22737.27812,561.3423317,0,0,66241.54894,0.518532961,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1993,27373.05556,NA,21757.8694,5394.400859,845.0924503,0,0,27997.36271,0.361602131,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1994,31237.48694,NA,5162.036931,8121.189481,1365.80598,0,0,14649.03239,0.389545748,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1995,75356.41178,NA,7771.369077,13125.15472,2576.822332,0,0,23473.34613,0.185244621,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1996,46051.14053,NA,12559.78841,24762.80839,4817.494929,0,0,42140.09172,0.017296034,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1997,11117.8913,NA,23696.14991,46295.27708,6704.811975,0,0,76696.23896,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1998,16737.81839,NA,44301.10706,64432.06121,5872.861511,0,0,114606.0298,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",1999,27051.01961,NA,61656.64884,56437.1639,5237.957564,0,0,123331.7703,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2000,51036.29099,NA,54006.1319,50335.84888,1973.727989,0,0,106315.7088,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2001,95414.83322,NA,48167.63115,18967.17806,3624.765657,0,0,70759.57487,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2002,132794.85,NA,18150.16647,34833.35902,1560.523865,0,0,54544.04936,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2003,116317.3205,NA,33332.91136,14996.35926,1218.206397,0,0,49547.47702,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2004,103742.475,NA,14350.39078,11706.74874,1501.537012,0,0,27558.67653,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2005,39091.46344,NA,11202.4803,14429.50601,398.0479088,0,0,26030.03422,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2006,71791.75396,NA,13807.95474,3825.170238,802.7796533,0,0,18435.90463,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2007,30907.58298,NA,3660.400952,7714.570961,836.1608384,0,0,12211.13275,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2008,24127.67672,NA,7382.265657,8035.358265,2022.168977,0,NA,17439.7929,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2009,29739.29516,NA,7689.235042,19432.68741,880.1693036,NA,0,28002.09176,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2010,7883.697936,NA,18595.624,8458.271858,NA,0,NA,27053.89586,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2011,15899.77527,NA,8093.931623,NA,411.475553,NA,NA,8505.407176,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2012,16560.91975,NA,NA,3954.207532,NA,NA,NA,3954.207532,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2013,40050.8809,NA,3783.879961,NA,NA,NA,NA,3783.879961,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2014,17432.54711,NA,NA,NA,NA,NA,NA,NA,0,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2016,8106.024401,NA,NA,NA,NA,NA,NA,NA,0.005352398,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2017,9707.027352,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2018,25862.42172,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_12","Smith Inlet",2019,4766.066528,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643,0.4852,0.05049,0,0,"CM-12"
"CM","CM_13","Rivers Inlet",1954,37340.1185,NA,16449.01048,90566.90195,947.664966,0,0,107963.5774,0.316243006,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1955,5342.336231,NA,86665.73078,9106.893276,1372.888179,0,0,97145.51224,0.615870797,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1956,16758.06523,NA,8714.61366,13193.21339,1110.834908,0,0,23018.66196,0.20899351,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1957,25458.81813,NA,12624.91546,10674.92766,1373.988936,0,0,24673.83205,0.281383566,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1958,154535.2927,NA,10215.10493,13203.79148,1287.809785,0,0,24706.70619,0.172097947,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1959,13469.72774,NA,12635.03789,12375.62503,1589.996901,0,0,26600.65982,0.282355497,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1960,19018.81358,NA,11842.54472,15279.58995,277.4566802,0,0,27399.59135,0.300554909,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1961,15132.03223,NA,14621.4213,2666.309789,3399.380733,0,0,20687.11182,0.312214352,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1962,19773.5284,NA,2551.45844,32667.44962,1031.648379,0,0,36250.55644,0.273381741,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1963,19584.8497,NA,31260.29856,9913.959072,1429.121611,0,0,42603.37924,0.232154412,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1964,22792.3877,NA,9486.915081,13733.60677,883.2549426,0,0,24103.77679,0.276232769,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1965,1252.797102,NA,13142.03137,8487.924305,2655.650351,0,0,24285.60603,0.772023057,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1966,58754.54909,NA,8122.306791,25520.33176,963.0582849,0,0,34605.69683,0.127336001,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1967,11048.90728,NA,24421.04294,9254.820357,1846.999693,0,0,35522.86299,0.459254393,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1968,17271.42857,NA,8856.16878,17749.34148,1112.204495,0,0,27717.71475,0.389810901,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1969,3008.823529,NA,16984.78823,10688.08914,2867.255766,0,0,30540.13314,0.828004925,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1970,24819.48297,NA,10227.69948,27553.82249,595.4121418,0,0,38376.93412,0.528124742,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1971,12482.87631,NA,26366.94102,5721.805728,119.746868,0,0,32208.49362,0.345563571,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
"CM","CM_13","Rivers Inlet",1972,24664.84445,NA,5475.338829,1150.746294,560.5963001,0,0,7186.681423,0.325756252,NA,0.4643,0.4852,0.05049,0,0,"CM-13"
