"MAP_LABEL","GFE_ID","SYSTEM_SITE","GFE_TYPE","SPECIES_QUALIFIED","Y_LAT","X_LONGT","FAZ_ACRO","MAZ_ACRO","JAZ_ACRO","CU_NAME","CU_ACRO","CU_LAT","CU_LONGT","CU_TYPE","CU_INDEX","FULL_CU_IN","SBJ_ID","POP_ID","IS_INDICATOR","CMNTS","EFFECTIVE_DT","WATERSHED_CDE","FWA_WATERSHED_CDE","SPECIES","species_acronym_ncc","IndexId","coordinates_changed"
1,"442","OKANAGAN RIVER","Stream","CK",49.075977,-119.517786,"OK","ORWA","OK+ORWA","OKANAGAN_1.x","OK",49.15180162,-119.4719531,"Current","1","CK-1",5,7809,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","310-000000-00000-00000-0000-0000-000-000-000-000-000-000","300-432687-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Chinook","CN","CN_7809",FALSE
1,"677","CAMPBELL RIVER","Stream","CO",49.012657,-122.777982,"BB","GStr","BB+GStr","BOUNDARY BAY","BB",49.076162507,-122.701183906,"VREQ[Current]","1","CO-1",2,590,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-000500-00000-00000-0000-0000-000-000-000-000-000-000","900-000584-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_590",FALSE
2,"680","MURRAY CREEK","Stream","CO",49.100487,-122.643828,"BB","GStr","BB+GStr","BOUNDARY BAY","BB",49.076162507,-122.701183906,"VREQ[Current]","1","CO-1",2,1794,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-004300-66600-00000-0000-0000-000-000-000-000-000-000","900-004391-663129-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_1794",FALSE
3,"678","NICOMEKL RIVER","Stream","CO",49.058218,-122.869731,"BB","GStr","BB+GStr","BOUNDARY BAY","BB",49.076162507,-122.701183906,"VREQ[Current]","1","CO-1",2,1844,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-004300-00000-00000-0000-0000-000-000-000-000-000-000","900-004391-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_1844",FALSE
4,"681","SERPENTINE RIVER","Stream","CO",49.083227,-122.850271,"BB","GStr","BB+GStr","BOUNDARY BAY","BB",49.076162507,-122.701183906,"VREQ[Current]","1","CO-1",2,2172,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-005500-00000-00000-0000-0000-000-000-000-000-000-000","900-005473-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_2172",FALSE
1,"1169","BOB CREEK","Stream","PKE",49.499042,-124.796111,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,51264,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","","","Pink","PKE","PKE_51264",FALSE
2,"813","BREM RIVER","Stream","PKE",50.435622,-124.666342,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,50504,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-357900-00000-00000-0000-0000-000-000-000-000-000-000","900-358652-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_50504",FALSE
3,"814","BREM RIVER TRIBUTARY","Stream","PKE",50.440152,-124.667078,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,50514,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-357900-01700-00000-0000-0000-000-000-000-000-000-000","900-358652-020005-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_50514",FALSE
4,"784","BRITTAIN RIVER","Stream","PKE",49.99745,-124.009657,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,48918,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-244600-00000-00000-0000-0000-000-000-000-000-000-000","900-247763-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_48918",FALSE
5,"1155","BROOKLYN CREEK","Stream","PKE",49.668951,-124.914275,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,53054,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-558600-00000-00000-0000-0000-000-000-000-000-000-000","920-565088-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_53054",FALSE
6,"1141","CAMPBELL RIVER","Stream","PKE",50.048718,-125.258471,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,52914,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-627900-00000-00000-0000-0000-000-000-000-000-000-000","920-627155-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_52914",FALSE
7,"697","CAPILANO RIVER","Stream","PKE",49.321561,-123.139729,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,49871,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-071100-00000-00000-0000-0000-000-000-000-000-000-000","900-083503-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_49871",FALSE
8,"768","CARLSON CREEK","Stream","PKE",49.541931,-123.799667,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,48758,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-162600-00000-00000-0000-0000-000-000-000-000-000-000","900-165880-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_48758",FALSE
9,"2819","CASEY CREEK","Stream","PKE",50.069359,-125.290132,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,3329,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-633400-00000-00000-0000-0000-000-000-000-000-000-000","920-631984-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_3329",FALSE
10,"760","CHAPMAN CREEK","Stream","PKE",49.439278,-123.723453,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,48668,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-120400-00000-00000-0000-0000-000-000-000-000-000-000","900-127577-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_48668",FALSE
11,"1204","CHEMAINUS RIVER","Stream","PKE",48.897926,-123.673181,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,39979,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-303500-00000-00000-0000-0000-000-000-000-000-000-000","920-302830-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_39979",FALSE
