"","area","river","site","year","escapement","returns","recruits","survival"
"1","12","ADAM RIVER","1","1950",NA,NA,NA,NA
"2","12","ADAM RIVER","1","1951",NA,NA,3757.05459770115,NA
"3","12","ADAM RIVER","1","1952",NA,NA,2153.69186046512,NA
"4","12","ADAM RIVER","1","1953",3500,NA,1557.05426356589,-0.809967224891847
"5","12","ADAM RIVER","1","1954",3500,4022.98850574713,2553.98329592028,-0.315108751266517
"6","12","ADAM RIVER","1","1955",3500,3977.27272727273,4090.62215714273,0.155934106651591
"7","12","ADAM RIVER","1","1956",1500,1666.66666666667,2271.77609103056,0.415096836411197
"8","12","ADAM RIVER","1","1957",1500,1744.18604651163,1400.80852376957,-0.0684155212074364
"9","12","ADAM RIVER","1","1958",3500,3723.40425531915,410.273448551564,-2.14369436240318
"10","12","ADAM RIVER","1","1959",3500,3804.34782608696,2299.28008330196,-0.420166901817279
"11","12","ADAM RIVER","1","1960",1500,1648.35164835165,1181.03104559134,-0.239077283692865
"12","12","ADAM RIVER","1","1961",750,842.696629213483,343.521350866826,-0.780823939982064
"13","12","ADAM RIVER","1","1962",1500,1630.4347826087,1343.05713894896,-0.11051664571711
"14","12","ADAM RIVER","1","1963",1500,1546.39175257732,NA,NA
"15","12","ADAM RIVER","1","1964",750,833.333333333333,NA,NA
"16","12","ADAM RIVER","1","1965",200,210.526315789474,NA,NA
"17","12","ADAM RIVER","1","1966",1500,1515.15151515152,NA,NA
"18","12","ADAM RIVER","1","1967",750,757.575757575758,NA,NA
"19","12","ADAM RIVER","1","1968",NA,NA,NA,NA
"20","12","ADAM RIVER","1","1969",NA,NA,NA,NA
"21","12","ADAM RIVER","1","1970",NA,NA,NA,NA
"22","12","ADAM RIVER","1","1971",NA,NA,NA,NA
"23","12","ADAM RIVER","1","1972",750,781.25,NA,NA
"24","12","ADAM RIVER","1","1973",NA,NA,NA,NA
"25","12","ADAM RIVER","1","1974",NA,NA,NA,NA
"26","12","ADAM RIVER","1","1975",NA,NA,NA,NA
