,Yr,Area,River,Spawners,Returns,Recruits,Expl,Catch
1,1950,12,ADAM RIVER,NA,NA,NA,NA,NA
2,1951,12,ADAM RIVER,NA,NA,NA,NA,NA
3,1952,12,ADAM RIVER,NA,NA,NA,NA,NA
4,1953,12,ADAM RIVER,3500,NA,NA,NA,NA
5,1954,12,ADAM RIVER,3500,NA,NA,NA,NA
6,1955,12,ADAM RIVER,1500,NA,NA,NA,NA
7,1956,12,ADAM RIVER,7500,NA,NA,NA,NA
8,1957,12,ADAM RIVER,3500,NA,NA,NA,NA
9,1958,12,ADAM RIVER,3500,NA,NA,NA,NA
10,1959,12,ADAM RIVER,750,NA,NA,NA,NA
11,1960,12,ADAM RIVER,750,NA,NA,NA,NA
12,1961,12,ADAM RIVER,750,NA,NA,NA,NA
13,1962,12,ADAM RIVER,3500,NA,NA,NA,NA
14,1963,12,ADAM RIVER,1500,NA,NA,NA,NA
15,1964,12,ADAM RIVER,750,NA,NA,NA,NA
16,1965,12,ADAM RIVER,1500,NA,NA,NA,NA
17,1966,12,ADAM RIVER,1500,NA,NA,NA,NA
18,1967,12,ADAM RIVER,200,NA,NA,NA,NA
19,1968,12,ADAM RIVER,400,NA,NA,NA,NA
20,1969,12,ADAM RIVER,NA,NA,NA,NA,NA
21,1970,12,ADAM RIVER,1500,NA,NA,NA,NA
22,1971,12,ADAM RIVER,NA,NA,NA,NA,NA
23,1972,12,ADAM RIVER,400,NA,2083,NA,NA
24,1973,12,ADAM RIVER,750,NA,18750,NA,NA
25,1974,12,ADAM RIVER,1500,NA,3409,NA,NA
26,1975,12,ADAM RIVER,750,2083,3125,0.639942391,479.9567931
27,1976,12,ADAM RIVER,1500,18750,1071,0.92,1380
28,1977,12,ADAM RIVER,750,3409,1500,0.779994133,584.9955999
29,1978,12,ADAM RIVER,750,3125,NA,0.76,570
30,1979,12,ADAM RIVER,300,1071,48,0.719887955,215.9663866
31,1980,12,ADAM RIVER,300,1500,57,0.8,240
32,1981,12,ADAM RIVER,NA,NA,NA,NA,NA
33,1982,12,ADAM RIVER,12,48,361,0.75,9
34,1983,12,ADAM RIVER,12,57,52,0.789473684,9.473684211
35,1984,12,ADAM RIVER,15,NA,NA,NA,NA
36,1985,12,ADAM RIVER,65,361,NA,0.819944598,53.29639889
37,1986,12,ADAM RIVER,15,52,NA,0.711538462,10.67307692
38,1987,12,ADAM RIVER,NA,NA,NA,NA,NA
39,1988,12,ADAM RIVER,NA,NA,NA,NA,NA
40,1989,12,ADAM RIVER,NA,NA,NA,NA,NA
41,1990,12,ADAM RIVER,NA,NA,NA,NA,NA
42,1991,12,ADAM RIVER,NA,NA,NA,NA,NA
43,1992,12,ADAM RIVER,NA,NA,NA,NA,NA
44,1993,12,ADAM RIVER,NA,NA,NA,NA,NA
45,1994,12,ADAM RIVER,NA,NA,NA,NA,NA
46,1995,12,ADAM RIVER,40,NA,619,NA,NA
47,1996,12,ADAM RIVER,NA,NA,NA,NA,NA
48,1997,12,ADAM RIVER,100,NA,1237,NA,NA
49,1998,12,ADAM RIVER,600,619,NA,0.030694669,18.41680129
50,1999,12,ADAM RIVER,NA,NA,NA,NA,NA
51,2000,12,ADAM RIVER,1200,1237,950,0.029911075,35.89329022
52,2001,12,ADAM RIVER,NA,NA,NA,NA,NA
