"","Yr","Area","River","Escapement","Returns","Recruits","Expl","Survival","EO","Popn","Population"
"1",1950,12,"ADAM RIVER",NA,NA,NA,NA,NA,"E","2","ADAM RIVER E"
"2",1951,12,"ADAM RIVER",NA,NA,NA,NA,NA,"O","1","ADAM RIVER O"
"3",1952,12,"ADAM RIVER",NA,NA,20833.3333333333,NA,NA,"E","2","ADAM RIVER E"
"4",1953,12,"ADAM RIVER",7500,NA,NA,NA,NA,"O","1","ADAM RIVER O"
"5",1954,12,"ADAM RIVER",15000,20833.3333333333,33333.3333333333,0.28,0.798507696217772,"E","2","ADAM RIVER E"
"6",1955,12,"ADAM RIVER",7500,NA,NA,NA,NA,"O","1","ADAM RIVER O"
"7",1956,12,"ADAM RIVER",15000,33333.3333333333,92105.2631578947,0.55,1.81488188664891,"E","2","ADAM RIVER E"
"8",1957,12,"ADAM RIVER",120000,NA,35714.2857142857,NA,-1.21194097397511,"O","1","ADAM RIVER O"
"9",1958,12,"ADAM RIVER",35000,92105.2631578947,18292.6829268293,0.62,-0.648846921663365,"E","2","ADAM RIVER E"
"10",1959,12,"ADAM RIVER",15000,35714.2857142857,125000,0.58,2.12026353620009,"O","1","ADAM RIVER O"
"11",1960,12,"ADAM RIVER",7500,18292.6829268293,7142.85714285714,0.59,-0.0487901641694319,"E","2","ADAM RIVER E"
"12",1961,12,"ADAM RIVER",50000,125000,265306.12244898,0.6,1.6688613329049,"O","1","ADAM RIVER O"
"13",1962,12,"ADAM RIVER",3500,7142.85714285714,8139.53488372093,0.51,0.843970070294529,"E","2","ADAM RIVER E"
"14",1963,12,"ADAM RIVER",130000,265306.12244898,120967.741935484,0.51,-0.0720105359762722,"O","1","ADAM RIVER O"
"15",1964,12,"ADAM RIVER",3500,8139.53488372093,125000,0.57,3.57555076880693,"E","2","ADAM RIVER E"
"16",1965,12,"ADAM RIVER",75000,120967.741935484,10294.1176470588,0.38,-1.98591548366901,"O","1","ADAM RIVER O"
"17",1966,12,"ADAM RIVER",35000,125000,120689.655172414,0.72,1.23787435600162,"E","2","ADAM RIVER E"
"18",1967,12,"ADAM RIVER",3500,10294.1176470588,9701.49253731343,0.66,1.01951677500335,"O","1","ADAM RIVER O"
"19",1968,12,"ADAM RIVER",35000,120689.655172414,45454.5454545455,0.71,0.261364764134408,"E","2","ADAM RIVER E"
"20",1969,12,"ADAM RIVER",6500,9701.49253731343,81967.2131147541,0.33,2.53451715034133,"O","1","ADAM RIVER O"
"21",1970,12,"ADAM RIVER",15000,45454.5454545455,102040.816326531,0.67,1.9173226922034,"E","2","ADAM RIVER E"
"22",1971,12,"ADAM RIVER",50000,81967.2131147541,109090.909090909,0.39,0.780158557549575,"O","1","ADAM RIVER O"
"23",1972,12,"ADAM RIVER",50000,102040.816326531,139534.88372093,0.51,1.02629162708848,"E","2","ADAM RIVER E"
