"","Yr","Area","River","Spawners","Returns","Recruits","Expl","Survival"
"1",1950,12,"ADAM RIVER",NA,NA,NA,NA,NA
"2",1951,12,"ADAM RIVER",NA,NA,NA,NA,NA
"3",1952,12,"ADAM RIVER",NA,NA,NA,NA,NA
"4",1953,12,"ADAM RIVER",3500,NA,NA,NA,NA
"5",1954,12,"ADAM RIVER",3500,NA,NA,NA,NA
"6",1955,12,"ADAM RIVER",1500,NA,NA,NA,NA
"7",1956,12,"ADAM RIVER",7500,NA,NA,NA,NA
"8",1957,12,"ADAM RIVER",3500,NA,NA,NA,NA
"9",1958,12,"ADAM RIVER",3500,NA,NA,NA,NA
"10",1959,12,"ADAM RIVER",750,NA,NA,NA,NA
"11",1960,12,"ADAM RIVER",750,NA,NA,NA,NA
"12",1961,12,"ADAM RIVER",750,NA,NA,NA,NA
"13",1962,12,"ADAM RIVER",3500,NA,NA,NA,NA
"14",1963,12,"ADAM RIVER",1500,NA,NA,NA,NA
"15",1964,12,"ADAM RIVER",750,NA,NA,NA,NA
"16",1965,12,"ADAM RIVER",1500,NA,NA,NA,NA
"17",1966,12,"ADAM RIVER",1500,NA,NA,NA,NA
"18",1967,12,"ADAM RIVER",200,NA,NA,NA,NA
"19",1968,12,"ADAM RIVER",400,NA,NA,NA,NA
"20",1969,12,"ADAM RIVER",NA,NA,NA,NA,NA
"21",1970,12,"ADAM RIVER",1500,NA,NA,NA,NA
"22",1971,12,"ADAM RIVER",NA,NA,NA,NA,NA
"23",1972,12,"ADAM RIVER",400,NA,2083,NA,1.65009989415299
"24",1973,12,"ADAM RIVER",750,NA,18750,NA,3.2188758248682
"25",1974,12,"ADAM RIVER",1500,NA,3409,NA,0.820953885047602
"26",1975,12,"ADAM RIVER",750,2083,3125,NA,1.42711635564015
"27",1976,12,"ADAM RIVER",1500,18750,1071,NA,-0.336872316642553
"28",1977,12,"ADAM RIVER",750,3409,1500,NA,0.693147180559945
"29",1978,12,"ADAM RIVER",750,3125,NA,NA,NA
"30",1979,12,"ADAM RIVER",300,1071,48,NA,-1.83258146374831
"31",1980,12,"ADAM RIVER",300,1500,57,NA,-1.66073120682165
"32",1981,12,"ADAM RIVER",NA,NA,NA,NA,NA
"33",1982,12,"ADAM RIVER",12,48,361,NA,3.40397130854488
"34",1983,12,"ADAM RIVER",12,57,52,0.866057834110302,1.46633706879343
"35",1984,12,"ADAM RIVER",15,NA,NA,0.775693911882616,NA
"36",1985,12,"ADAM RIVER",65,361,NA,0.804617873469269,NA
"37",1986,12,"ADAM RIVER",15,52,NA,0.736636297568,NA
"38",1987,12,"ADAM RIVER",NA,NA,NA,0.620278215303934,NA
"39",1988,12,"ADAM RIVER",NA,NA,NA,0.662968422357177,NA
"40",1989,12,"ADAM RIVER",NA,NA,NA,0.758563000132309,NA
"41",1990,12,"ADAM RIVER",NA,NA,NA,0.551771761004763,NA
"42",1991,12,"ADAM RIVER",NA,NA,NA,0.610236891943533,NA
"43",1992,12,"ADAM RIVER",NA,NA,NA,0.846200576578609,NA
"44",1993,12,"ADAM RIVER",NA,NA,NA,0.870616228783584,NA
"45",1994,12,"ADAM RIVER",NA,NA,NA,0.688336172661556,NA
"46",1995,12,"ADAM RIVER",40,NA,619,0.41545900740463,2.73922581857066
"47",1996,12,"ADAM RIVER",NA,NA,NA,0.154973827940401,NA
